2022-01-09 01:18:41.1750000 [client] INFO Searching for server executables haskell-language-server-wrapper,haskell-language-server in $PATH
2022-01-09 01:18:41.1750000 [client] INFO $PATH environment variable: /home/vvcaw/.cabal/bin:/home/vvcaw/.ghcup/bin:/home/vvcaw/.emacs.d/bin:/home/vvcaw/.cargo/bin:/usr/local/sbin:/usr/local/bin:/usr/bin:/usr/bin/site_perl:/usr/bin/vendor_perl:/usr/bin/core_perl
2022-01-09 01:18:41.1790000 [client] INFO Found server executable in $PATH: haskell-language-server-wrapper
2022-01-09 01:18:41.1790000 [client] INFO Activating the language server in working dir: /home/vvcaw/dev/BWINF/Aufgabe2 (the workspace folder)
2022-01-09 01:18:41.1790000 [client] INFO run command: haskell-language-server-wrapper --lsp
2022-01-09 01:18:41.1790000 [client] INFO debug command: haskell-language-server-wrapper --lsp
2022-01-09 01:18:41.1790000 [client] INFO server environment variables:
2022-01-09 01:18:41.1810000 [client] INFO Starting language server
No 'hie.yaml' found. Try to discover the project type!
Run entered for haskell-language-server-wrapper(haskell-language-server-wrapper) Version 1.5.1.0, Git revision 745ef26f406dbdd5e4a538585f8519af9f1ccb09 (dirty) x86_64 ghc-8.10.7
Current directory: /home/vvcaw/dev/BWINF/Aufgabe2
Operating system: linux
Arguments: ["--lsp"]
Cradle directory: /home/vvcaw/dev/BWINF/Aufgabe2
Cradle type: Default

Tool versions found on the $PATH
cabal:		3.6.2.0
stack:		2.7.3
ghc:		9.0.1


Consulting the cradle to get project GHC version...
Project GHC version: 9.0.1
haskell-language-server exe candidates: ["haskell-language-server-9.0.1","haskell-language-server"]
Launching haskell-language-server exe at:/home/vvcaw/.ghcup/bin/haskell-language-server-9.0.1
haskell-language-server version: 1.5.1.0 (GHC: 9.0.1) (PATH: /home/vvcaw/.ghcup/bin/haskell-language-server-9.0.1~1.5.1) (GIT hash: 745ef26f406dbdd5e4a538585f8519af9f1ccb09)
Starting (haskell-language-server)LSP server...
  with arguments: GhcideArguments {argsCommand = LSP, argsCwd = Nothing, argsShakeProfiling = Nothing, argsTesting = False, argsExamplePlugin = False, argsDebugOn = False, argsLogFile = Nothing, argsThreads = 0, argsProjectGhcVersion = False}
  with plugins: [PluginId "pragmas",PluginId "floskell",PluginId "fourmolu",PluginId "ormolu",PluginId "retrie",PluginId "callHierarchy",PluginId "haddockComments",PluginId "eval",PluginId "importLens",PluginId "refineImports",PluginId "moduleName",PluginId "hlint",PluginId "splice",PluginId "ghcide-hover-and-symbols",PluginId "ghcide-code-actions-imports-exports",PluginId "ghcide-code-actions-type-signatures",PluginId "ghcide-code-actions-bindings",PluginId "ghcide-code-actions-fill-holes",PluginId "ghcide-completions",PluginId "ghcide-type-lenses",PluginId "ghcide-core"]
  in directory: /home/vvcaw/dev/BWINF/Aufgabe2
 2022-01-09 02:18:41.602871822 [ThreadId 4] INFO hls:	Starting LSP server...
2022-01-09 02:18:41.603933305 [ThreadId 4] INFO hls:	If you are seeing this in a terminal, you probably should have run WITHOUT the --lsp option!
2022-01-09 02:18:41.631520471 [ThreadId 8] INFO hls:	Started LSP server in 0.03s
Currently, HLS supports GHC 9 only partially. See [issue #297](https://github.com/haskell/haskell-language-server/issues/297) for more detail.
2022-01-09 02:18:41.971013867 [ThreadId 8] INFO hls:	Registering ide configuration: IdeConfiguration {workspaceFolders = fromList [NormalizedUri (-3688132169937626545) "file:///home/vvcaw/dev/BWINF/Aufgabe2"], clientSettings = hashed Nothing}
2022-01-09 02:18:41.994858085 [ThreadId 114] INFO hls:	Consulting the cradle for "EquationBuilder.hs"
2022-01-09 02:18:41.994953244 [ThreadId 114] WARNING hls:	No [cradle](https://github.com/mpickering/hie-bios#hie-bios) found for EquationBuilder.hs.
 Proceeding with [implicit cradle](https://hackage.haskell.org/package/implicit-hie).
You should ignore this message, unless you see a 'Multi Cradle: No prefixes matched' error.
2022-01-09 02:18:42.107752008 [ThreadId 114] INFO hls:	Using interface files cache dir: /home/vvcaw/.cache/ghcide/main-da39a3ee5e6b4b0d3255bfef95601890afd80709
2022-01-09 02:18:42.1081094 [ThreadId 114] INFO hls:	Making new HscEnv[main]
2022-01-09 02:18:42.127635871 [ThreadId 171] INFO hls:	Consulting the cradle for "Bruteforcer.hs"
2022-01-09 02:18:42.127731043 [ThreadId 171] WARNING hls:	No [cradle](https://github.com/mpickering/hie-bios#hie-bios) found for Bruteforcer.hs.
 Proceeding with [implicit cradle](https://hackage.haskell.org/package/implicit-hie).
You should ignore this message, unless you see a 'Multi Cradle: No prefixes matched' error.
2022-01-09 02:18:42.133640957 [ThreadId 132] INFO hls:	finish: splice.codeAction.GitHieAst (took 0.01s)
2022-01-09 02:18:42.133855277 [ThreadId 143] INFO hls:	finish: importLens (took 0.01s)
2022-01-09 02:18:42.13390622 [ThreadId 145] INFO hls:	finish: RefineImports (took 0.01s)
2022-01-09 02:18:42.133944049 [ThreadId 151] INFO hls:	finish: Pragmas.GetParsedModule (took 0.01s)
2022-01-09 02:18:42.13381744 [ThreadId 136] INFO hls:	finish: GhcideCodeActions.getParsedModule (took 0.01s)
2022-01-09 02:18:42.134418133 [ThreadId 192] INFO hls:	finish: Pragmas.GetFileContents (took 0.00s)
2022-01-09 02:18:42.137746401 [ThreadId 149] INFO hls:	finish: HaddockComments.GetAnnotatedParsedSource (took 0.01s)
2022-01-09 02:18:42.437281026 [ThreadId 218] INFO hls:	finish: ModuleName.ghcSession (took 0.00s)
2022-01-09 02:18:42.438578734 [ThreadId 225] INFO hls:	finish: ModuleName.GetParsedModule (took 0.00s)
2022-01-09 02:18:42.438683845 [ThreadId 215] INFO hls:	finish: eval.GetParsedModuleWithComments (took 0.00s)
2022-01-09 02:18:42.450759754 [ThreadId 171] INFO hls:	Using interface files cache dir: /home/vvcaw/.cache/ghcide/main-da39a3ee5e6b4b0d3255bfef95601890afd80709
2022-01-09 02:18:42.450837542 [ThreadId 171] INFO hls:	Using interface files cache dir: /home/vvcaw/.cache/ghcide/main-da39a3ee5e6b4b0d3255bfef95601890afd80709
2022-01-09 02:18:42.450873258 [ThreadId 171] INFO hls:	Making new HscEnv[main,main]
2022-01-09 02:18:42.502036753 [ThreadId 257] INFO hls:	finish: codeLens.TypeCheck (took 0.02s)
2022-01-09 02:18:42.50212248 [ThreadId 255] INFO hls:	finish: retrie (took 0.02s)
2022-01-09 02:18:42.502262792 [ThreadId 261] INFO hls:	finish: RefineImports (took 0.02s)
2022-01-09 02:18:42.502457942 [ThreadId 259] INFO hls:	finish:  (took 0.03s)
2022-01-09 02:18:42.504112457 [ThreadId 338] INFO hls:	finish: codeLens.GetBindings (took 0.00s)
2022-01-09 02:18:42.50441714 [ThreadId 354] INFO hls:	finish: codeLens.GetGlobalBindingTypeSigs (took 0.00s)
2022-01-09 02:18:43.145135113 [ThreadId 385] INFO hls:	finish: Pragmas.GetParsedModule (took 0.00s)
2022-01-09 02:18:43.145301367 [ThreadId 388] INFO hls:	finish: RefineImports (took 0.00s)
2022-01-09 02:18:43.145569472 [ThreadId 389] INFO hls:	finish: GhcideCodeActions.getParsedModule (took 0.00s)
2022-01-09 02:18:43.145708647 [ThreadId 387] INFO hls:	finish: importLens (took 0.00s)
2022-01-09 02:18:43.145670759 [ThreadId 390] INFO hls:	finish: splice.codeAction.GitHieAst (took 0.00s)
2022-01-09 02:18:43.145883708 [ThreadId 384] INFO hls:	finish: Outline (took 0.00s)
2022-01-09 02:18:43.145945917 [ThreadId 386] INFO hls:	finish: retrie (took 0.00s)
2022-01-09 02:18:43.146201401 [ThreadId 391] INFO hls:	finish: Pragmas.GetFileContents (took 0.00s)
2022-01-09 02:18:43.146236344 [ThreadId 383] INFO hls:	finish: HaddockComments.GetAnnotatedParsedSource (took 0.00s)
2022-01-09 02:18:44.652579738 [ThreadId 406] INFO hls:	finish:  (took 0.00s)
2022-01-09 02:18:44.652645611 [ThreadId 409] INFO hls:	finish: codeLens.TypeCheck (took 0.00s)
2022-01-09 02:18:44.652655757 [ThreadId 405] INFO hls:	finish: eval.GetParsedModuleWithComments (took 0.00s)
2022-01-09 02:18:44.652668924 [ThreadId 408] INFO hls:	finish: ModuleName.ghcSession (took 0.00s)
2022-01-09 02:18:44.652896304 [ThreadId 410] INFO hls:	finish: RefineImports (took 0.00s)
2022-01-09 02:18:44.652936477 [ThreadId 413] INFO hls:	finish: codeLens.GetGlobalBindingTypeSigs (took 0.00s)
2022-01-09 02:18:44.65291421 [ThreadId 412] INFO hls:	finish: codeLens.GetBindings (took 0.00s)
2022-01-09 02:18:44.652983415 [ThreadId 414] INFO hls:	finish: ModuleName.GetParsedModule (took 0.00s)
2022-01-09 02:18:45.390701451 [ThreadId 420] INFO hls:	finish: Outline (took 0.00s)
2022-01-09 02:18:45.390768084 [ThreadId 435] INFO hls:	finish: Pragmas.GetParsedModule (took 0.00s)
2022-01-09 02:18:45.390893243 [ThreadId 438] INFO hls:	finish: splice.codeAction.GitHieAst (took 0.00s)
2022-01-09 02:18:45.390968832 [ThreadId 437] INFO hls:	finish: HaddockComments.GetAnnotatedParsedSource (took 0.00s)
2022-01-09 02:18:45.390811559 [ThreadId 439] INFO hls:	finish: GhcideCodeActions.getParsedModule (took 0.00s)
2022-01-09 02:18:45.391065564 [ThreadId 436] INFO hls:	finish: retrie (took 0.00s)
2022-01-09 02:18:45.391129641 [ThreadId 446] INFO hls:	finish: importLens (took 0.00s)
2022-01-09 02:18:45.391164406 [ThreadId 447] INFO hls:	finish: RefineImports (took 0.00s)
2022-01-09 02:18:45.391198569 [ThreadId 448] INFO hls:	finish: Pragmas.GetFileContents (took 0.00s)
2022-01-09 02:18:45.391794879 [ThreadId 450] INFO hls:	finish: Outline (took 0.00s)
2022-01-09 02:18:45.601857566 [ThreadId 468] INFO hls:	finish: Pragmas.GetParsedModule (took 0.00s)
2022-01-09 02:18:45.601888608 [ThreadId 467] INFO hls:	finish: HaddockComments.GetAnnotatedParsedSource (took 0.00s)
2022-01-09 02:18:45.602038414 [ThreadId 470] INFO hls:	finish: importLens (took 0.00s)
2022-01-09 02:18:45.602049216 [ThreadId 469] INFO hls:	finish: RefineImports (took 0.00s)
2022-01-09 02:18:45.60214965 [ThreadId 472] INFO hls:	finish: retrie (took 0.00s)
2022-01-09 02:18:45.602195493 [ThreadId 473] INFO hls:	finish: splice.codeAction.GitHieAst (took 0.00s)
2022-01-09 02:18:45.602241395 [ThreadId 471] INFO hls:	finish: GhcideCodeActions.getParsedModule (took 0.00s)
2022-01-09 02:18:45.602340426 [ThreadId 474] INFO hls:	finish: Pragmas.GetFileContents (took 0.00s)
2022-01-09 02:18:45.602475606 [ThreadId 476] INFO hls:	finish: MinimalImports (took 0.00s)
2022-01-09 02:18:45.60249025 [ThreadId 475] INFO hls:	finish: RefineImports (took 0.00s)
2022-01-09 02:18:45.644771009 [ThreadId 493] INFO hls:	finish: RefineImports (took 0.00s)
2022-01-09 02:18:45.644788077 [ThreadId 492] INFO hls:	finish: codeLens.TypeCheck (took 0.00s)
2022-01-09 02:18:45.644871887 [ThreadId 495] INFO hls:	finish: ModuleName.ghcSession (took 0.00s)
2022-01-09 02:18:45.644889872 [ThreadId 494] INFO hls:	finish:  (took 0.00s)
2022-01-09 02:18:45.645136034 [ThreadId 500] INFO hls:	finish: ModuleName.GetParsedModule (took 0.00s)
2022-01-09 02:18:45.645176501 [ThreadId 496] INFO hls:	finish: eval.GetParsedModuleWithComments (took 0.00s)
2022-01-09 02:18:45.645218904 [ThreadId 497] INFO hls:	finish: codeLens.GetBindings (took 0.00s)
2022-01-09 02:18:45.64531991 [ThreadId 503] INFO hls:	finish: codeLens.GetGlobalBindingTypeSigs (took 0.00s)
2022-01-09 02:18:46.877944521 [ThreadId 526] INFO hls:	finish: Pragmas.GetParsedModule (took 0.00s)
2022-01-09 02:18:46.878079394 [ThreadId 529] INFO hls:	finish: GhcideCodeActions.GetFileContents (took 0.00s)
2022-01-09 02:18:46.878126737 [ThreadId 528] INFO hls:	finish: GhcideCodeActions.GetGlobalBindingTypeSigs (took 0.00s)
2022-01-09 02:18:46.878293377 [ThreadId 527] INFO hls:	finish: HaddockComments.GetAnnotatedParsedSource (took 0.00s)
2022-01-09 02:18:46.878255177 [ThreadId 530] INFO hls:	finish: splice.codeAction.GitHieAst (took 0.00s)
2022-01-09 02:18:46.87840667 [ThreadId 532] INFO hls:	finish: RefineImports (took 0.00s)
2022-01-09 02:18:46.878433121 [ThreadId 533] INFO hls:	finish: importLens (took 0.00s)
2022-01-09 02:18:46.878457273 [ThreadId 534] INFO hls:	finish: retrie (took 0.00s)
2022-01-09 02:18:46.878531758 [ThreadId 531] INFO hls:	finish: GhcideCodeActions.GhcSession (took 0.00s)
2022-01-09 02:18:46.878580894 [ThreadId 536] INFO hls:	finish: GhcideCodeActions.GetAnnotatedParsedSource (took 0.00s)
2022-01-09 02:18:46.878642282 [ThreadId 537] INFO hls:	finish: GhcideCodeActions.TypeCheck (took 0.00s)
2022-01-09 02:18:46.878682402 [ThreadId 535] INFO hls:	finish: Pragmas.GetFileContents (took 0.00s)
2022-01-09 02:18:46.878764794 [ThreadId 538] INFO hls:	finish: RefineImports (took 0.00s)
2022-01-09 02:18:46.878810194 [ThreadId 539] INFO hls:	finish: MinimalImports (took 0.00s)
2022-01-09 02:18:46.878899001 [ThreadId 541] INFO hls:	finish: GhcideCodeActions.getIdeOptions (took 0.00s)
2022-01-09 02:18:46.878905703 [ThreadId 542] INFO hls:	finish: GhcideCodeActions.GetBindings (took 0.00s)
2022-01-09 02:18:46.878948984 [ThreadId 543] INFO hls:	finish: GhcideCodeActions.GetParsedModule (took 0.00s)
2022-01-09 02:18:46.885419485 [ThreadId 544] INFO hls:	finish: GhcideCodeActions.GetParsedModule (took 0.00s)
2022-01-09 02:18:46.885494642 [ThreadId 545] INFO hls:	finish: GhcideCodeActions.GetAnnotatedParsedSource (took 0.00s)
2022-01-09 02:18:46.885600543 [ThreadId 546] INFO hls:	finish: GhcideCodeActions.GetFileContents (took 0.00s)
2022-01-09 02:18:47.997633598 [ThreadId 549] INFO hls:	finish: GhcideCodeActions.GetAnnotatedParsedSource (took 0.00s)
2022-01-09 02:18:47.998120375 [ThreadId 551] INFO hls:	finish: GhcideCodeActions.GetFileContents (took 0.00s)
2022-01-09 02:18:47.998073351 [ThreadId 550] INFO hls:	finish: GhcideCodeActions.GetParsedModule (took 0.00s)
2022-01-09 02:18:47.998665978 [ThreadId 552] INFO hls:	finish: GhcideCodeActions.TypeCheck (took 0.00s)
2022-01-09 02:18:47.998714869 [ThreadId 553] INFO hls:	finish: GhcideCodeActions.GetHieAst (took 0.00s)
2022-01-09 02:18:47.999359389 [ThreadId 554] INFO hls:	finish: GhcideCodeActions.getParsedModule (took 0.00s)
2022-01-09 02:18:48.450551769 [ThreadId 648] INFO hls:	finish: codeLens.TypeCheck (took 0.00s)
2022-01-09 02:18:48.450776948 [ThreadId 652] INFO hls:	finish: ModuleName.ghcSession (took 0.00s)
2022-01-09 02:18:48.451065184 [ThreadId 649] INFO hls:	finish: eval.GetParsedModuleWithComments (took 0.00s)
2022-01-09 02:18:48.451142964 [ThreadId 660] INFO hls:	finish: ModuleName.GetParsedModule (took 0.00s)
2022-01-09 02:18:48.451228992 [ThreadId 653] INFO hls:	finish: codeLens.GetBindings (took 0.00s)
2022-01-09 02:18:48.45123896 [ThreadId 651] INFO hls:	finish: RefineImports (took 0.00s)
2022-01-09 02:18:48.451299672 [ThreadId 654] INFO hls:	finish:  (took 0.00s)
2022-01-09 02:18:48.451370386 [ThreadId 665] INFO hls:	finish: codeLens.GetGlobalBindingTypeSigs (took 0.00s)
2022-01-09 02:18:48.451666767 [ThreadId 683] INFO hls:	finish: retrie (took 0.00s)
2022-01-09 02:18:48.451696601 [ThreadId 687] INFO hls:	finish: splice.codeAction.GitHieAst (took 0.00s)
2022-01-09 02:18:48.45175044 [ThreadId 689] INFO hls:	finish: GhcideCodeActions.GhcSession (took 0.00s)
2022-01-09 02:18:48.451788339 [ThreadId 688] INFO hls:	finish: GhcideCodeActions.GetFileContents (took 0.00s)
2022-01-09 02:18:48.451849198 [ThreadId 690] INFO hls:	finish: Pragmas.GetParsedModule (took 0.00s)
2022-01-09 02:18:48.451865172 [ThreadId 685] INFO hls:	finish: RefineImports (took 0.00s)
2022-01-09 02:18:48.451935868 [ThreadId 686] INFO hls:	finish: GhcideCodeActions.GetGlobalBindingTypeSigs (took 0.00s)
2022-01-09 02:18:48.451965963 [ThreadId 691] INFO hls:	finish: importLens (took 0.00s)
2022-01-09 02:18:48.452214009 [ThreadId 695] INFO hls:	finish: RefineImports (took 0.00s)
2022-01-09 02:18:48.452275207 [ThreadId 697] INFO hls:	finish: GhcideCodeActions.TypeCheck (took 0.00s)
2022-01-09 02:18:48.452317094 [ThreadId 698] INFO hls:	finish: MinimalImports (took 0.00s)
2022-01-09 02:18:48.452477666 [ThreadId 694] INFO hls:	finish: GhcideCodeActions.GetAnnotatedParsedSource (took 0.00s)
2022-01-09 02:18:48.452489775 [ThreadId 696] INFO hls:	finish: Pragmas.GetFileContents (took 0.00s)
2022-01-09 02:18:48.452581891 [ThreadId 684] INFO hls:	finish: HaddockComments.GetAnnotatedParsedSource (took 0.00s)
